id,name,bn_name,established_year,enroll,bn_name,organization_type,lat,lon,website
107,Bashundhara Ad-din Medical College,বসুন্ধরা আদ-দিন মেডিকেল কলেজ,2014,50,ঢাকা,PRIVATE,,,
108,Aichi Medical College,আইচি মেডিকেল কলেজ,2013,50,ঢাকা,PRIVATE,,,
109,Marine City Medical College,মারিন সিটি মেডিকেল কলেজ,2014,50,চট্টগ্রাম,PRIVATE,,,
110,Khulna City Medical College,খুলনা সিটি মেডিকেল কলেজ,2013,50,খুলনা,PRIVATE,,,
111,Chattagram International Medical College,চট্টগ্রাম ইন্টারন্যাশনাল মেডিকেল কলেজ,2013,50,চট্টগ্রাম,PRIVATE,,,
112,Nightingale Medical College (Black list by MOHFW),নাইটিংগেল মেডিকেল কলেজ (মন্ত্রণালয়ের কালার তালিকায় রয়েছে),2006,85,ঢাকা,PRIVATE,,,
113,United Medical College,ইউনাইটেড মেডিকেল কলেজ,2020,50,ঢাকা,PRIVATE,,,
114,South Apollo Medical College,সাউথ অ্যাপোলো মেডিকেল কলেজ,2018,50,ভোলা,PRIVATE,,,
115,Ahsania Mission Medical College,আহসানিয়া মিশন মেডিকেল কলেজ,2021,50,ঢাকা,PRIVATE,,,
116,Dhaka Dental College,ঢাকা ডেন্টাল কলেজ,1961,97,ঢাকা,PRIVATE,,,
117,Chittagong Medical College Dental Unit,চট্টগ্রাম মেডিকেল কলেজ ডেন্টাল ইউনিট,1990,60,চট্টগ্রাম,PRIVATE,,,
118,Rajshahi Medical College Dental Unit,রাজশাহী মেডিকেল কলেজ ডেন্টাল ইউনিট,1989,59,রাজশাহী,PRIVATE,,,
119,Shaheed Suhrawardy Medical College Dental Unit,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ ডেন্টাল ইউনিট,2011,56,ঢাকা,PRIVATE,,,
120,Sir Salimullah Medical College Dental Unit,সির সালিমুল্লাহ মেডিকেল কলেজ ডেন্টাল ইউনিট,2011,52,ঢাকা,PRIVATE,,,
121,Mymensingh Medical College Dental Unit,ময়মনসিংহ মেডিকেল কলেজ ডেন্টাল ইউনিট,2011,52,ময়মনসিংহ,PRIVATE,,,
122,MAG Osmani Medical College Dental Unit,এম.এ.জি ওসমানী মেডিকেল কলেজ ডেন্টাল ইউনিট,2011,52,মৌলভীবাজার,PRIVATE,,,
123,Sher-e-Bangla Medical College Dental Unit,শেরে বাংলা মেডিকেল কলেজ ডেন্টাল ইউনিট,2011,52,ভোলা,PRIVATE,,,
124,Rangpur Medical College Dental Unit,রংপুর মেডিকেল কলেজ ডেন্টাল ইউনিট,2011,52,রংপুর,PRIVATE,,,
125,University Dental College,ইউনিভার্সিটি ডেন্টাল কলেজ,1995,0,ঢাকা,PRIVATE,,,
126,City Dental College,সিটি ডেন্টাল কলেজ,1996,0,ঢাকা,PRIVATE,,,
127,Pioneer Dental College,পাইওনিয়ার ডেন্টাল কলেজ,1995,0,ঢাকা,PRIVATE,,,
128,Sapporo Dental College,সাপোরো ডেন্টাল কলেজ,1993,0,ঢাকা,PRIVATE,,,
129,Bangladesh Dental College,বাংলাদেশ ডেন্টাল কলেজ,1986,0,ঢাকা,PRIVATE,,,
130,Chattagram International Dental College,চট্টগ্রাম ইন্টারন্যাশনাল ডেন্টাল কলেজ,2003,0,চট্টগ্রাম,PRIVATE,,,
131,Rangpur Dental College,রংপুর ডেন্টাল কলেজ,2001,0,রংপুর,PRIVATE,,,
132,Update Dental College,আপডেট ডেন্টাল কলেজ,2008,0,ঢাকা,PRIVATE,,,
133,Marks Dental College,মার্কস ডেন্টাল কলেজ,2008,0,ঢাকা,PRIVATE,,,
134,Saphena Women's Dental College,সাফিনা উইমেনস ডেন্টাল কলেজ,2010,0,ঢাকা,PRIVATE,,,
135,Mandy Dental College,ম্যান্ডি ডেন্টাল কলেজ,2008,0,ঢাকা,PRIVATE,,,
136,Udayan Dental College,উদয়ান ডেন্টাল কলেজ,2008,0,রাজশাহী,PRIVATE,,,
137,TMSS Medical College Dental Unit,টিএমএসএস মেডিকেল কলেজ ডেন্টাল ইউনিট,2008,0,বগুড়া,PRIVATE,,,
138,MH Samorita Medical College & Dental Unit,এম.এইচ সামরিতা মেডিকেল কলেজ এবং ডেন্টাল ইউনিট,2010,0,ঢাকা,PRIVATE,,,
139,"Kumudini Women's Medical College, Dental Unit","কুমুদিনী উইমেনস মেডিকেল কলেজ, ডেন্টাল ইউনিট",2011,0,টাঙ্গাইল,PRIVATE,,,
140,Holy Family Red Cresect Medical College Dental Unit,"হোলি ফ্যামিলি রেড ক্রিসেন্ট মেডিকেল কলেজ, ডেন্টাল ইউনিট",2013,0,ঢাকা,PRIVATE,,,
141,Gonoshasthaya Samajvittik Samaj Vittik Dental College,গণসমাজবিত্তিক সমাজবিত্তিক ডেন্টাল কলেজ,1998,0,ঢাকা,PRIVATE,,,
142,"Ibrahim Medical College, Dental Unit","ইব্রাহিম মেডিকেল কলেজ, ডেন্টাল ইউনিট",2015,0,ঢাকা,PRIVATE,,,
143,Dhaka Community Medical College Hospital And Dental Unit,ঢাকা কমিউনিটি মেডিকেল কলেজ হাসপাতাল এবং ডেন্টাল ইউনিট,2015,0,ঢাকা,PRIVATE,,,
144,Delta Medical College & Hospital Dental Unit,ডেল্টা মেডিকেল কলেজ এবং হাসপাতাল ডেন্টাল ইউনিট,2015,25,ঢাকা,PRIVATE,,,
145,"Community Based Medical College, Bangladesh Dental Unit","কমিউনিটি বেসড মেডিকেল কলেজ, বাংলাদেশ ডেন্টাল ইউনিট",2015,0,ঢাকা,PRIVATE,,,
146,Dhaka National Medical College Dental Unit,ঢাকা ন্যাশনাল মেডিকেল কলেজ ডেন্টাল ইউনিট,2015,0,ঢাকা,PRIVATE,,,
147,Islami Bank Medical College Dental Unit,ইসলামী ব্যাংক মেডিকেল কলেজ ডেন্টাল ইউনিট,2015,85,ঢাকা,PRIVATE,,,
148,Sylhet Central Dental College & General Hospital,সিলেট সেন্ট্রাল ডেন্টাল কলেজ এবং জেনারেল হাসপাতাল,2015,0,মৌলভীবাজার,PRIVATE,,,
149,Khawja Eunus Ali Medical College Dental Unit,খাজা ইউনুস আলী মেডিকেল কলেজ ডেন্টাল ইউনিট,2015,50,ঢাকা,PRIVATE,,,
150,North East Medical College Dental Unit,নর্থ ইস্ট মেডিকেল কলেজ ডেন্টাল ইউনিট,2015,0,ঢাকা,PRIVATE,,,
